Value			Pool Size	Time
20518.000000000022	40		3.483691
20518.000000000022	39		3.727815
20518.000000000022	38		6.170948
20518.000000000022	37		3.033263
20518.000000000022	36		5.436924
20518.000000000022	35		4.557798
20518.000000000022	34		5.241068
20518.000000000022	33		5.909155
20518.000000000022	32		3.855317
20518.000000000022	31		5.728472
20518.000000000022	30		3.53849
20518.000000000022	29		5.181662
20518.000000000022	28		5.165293
20518.000000000022	27		5.813081
20518.000000000022	26		6.489166
20518.000000000022	25		4.862975
20518.000000000022	24		13.869532
20518.000000000022	23		9.739848
20518.000000000022	22		18.962643
20518.000000000022	21		16.948118
20518.000000000022	20		28.925275
20518.000000000022	19		26.639639
20518.000000000022	18		22.193936
20518.000000000022	17		19.409643
20518.000000000022	16		61.633432
20518.000000000022	15		27.919766
20518.000000000022	14		14.786025
20518.000000000022	13		12.889491
20518.000000000022	12		21.349825
20518.000000000022	11		33.87136
20518.000000000022	10		40.483252
20518.000000000022	9		21.426267
20518.000000000022	8		14.814945
20518.000000000022	7		14.764588
20518.000000000022	6		14.707408
20518.000000000022	5		16.893369
20518.000000000022	4		16.566159
20518.000000000022	3		22.910132
20518.000000000022	2		32.914463
20518.000000000022	1		65.147455
